riscv64-linux-gnu-gcc -Wall -Werror -O -fno-omit-frame-pointer -ggdb -gdwarf-2 -MD -mcmodel=medany -ffreestanding -fno-common -nostdlib -mno-relax -I. -fno-stack-protector -D MLFQ -fno-pie -no-pie   -c -o kernel/proc.o kernel/proc.c
riscv64-linux-gnu-ld -z max-page-size=4096 -T kernel/kernel.ld -o kernel/kernel kernel/entry.o kernel/start.o kernel/console.o kernel/printf.o kernel/uart.o kernel/kalloc.o kernel/spinlock.o kernel/string.o kernel/main.o kernel/vm.o kernel/proc.o kernel/swtch.o kernel/trampoline.o kernel/trap.o kernel/syscall.o kernel/sysproc.o kernel/bio.o kernel/fs.o kernel/log.o kernel/sleeplock.o kernel/file.o kernel/pipe.o kernel/exec.o kernel/sysfile.o kernel/kernelvec.o kernel/plic.o kernel/virtio_disk.o 
riscv64-linux-gnu-objdump -S kernel/kernel > kernel/kernel.asm
riscv64-linux-gnu-objdump -t kernel/kernel | sed '1,/SYMBOL TABLE/d; s/ .* / /; /^$/d' > kernel/kernel.sym
qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

MLFQGRAPH 1 1 0 3
init: starting sh
GRAPH 1 2 0 4
$ schedulertest
GRAPH 9 88 0 4
GRAPH 10 88 0 3
GRAPH 11 88 0 3
GRAPH 12 88 0 3
GRAPH 13 88 0 3
GRAPH 4 89 0 3
GRAPH 5 89 0 3
GRAPH 6 89 0 3
GRAPH 7 89 0 3
GRAPH 8 89 0 3
GRAPH 9 89 0 3
GRAPH 10 89 0 4
GRAPH 11 89 0 3
GRAPH 12 89 0 3
GRAPH 13 89 0 3
GRAPH 4 90 0 3
GRAPH 5 90 0 3
GRAPH 6 90 0 3
GRAPH 7 90 0 3
GRAPH 8 90 0 3
GRAPH 9 90 0 3
GRAPH 10 90 0 3
GRAPH 11 90 0 4
GRAPH 12 90 0 3
GRAPH 13 90 0 3
GRAPH 4 91 0 3
GRAPH 5 91 0 3
GRAPH 6 91 0 3
GRAPH 7 91 0 3
GRAPH 8 91 0 3
GRAPH 9 91 0 3
GRAPH 10 91 0 3
GRAPH 11 91 0 3
GRAPH 12 91 0 4
GRAPH 13 91 0 3
GRAPH 4 92 0 3
GRAPH 5 92 0 3
GRAPH 6 92 0 3
GRAPH 7 92 0 3
GRAPH 8 92 0 3
GRAPH 9 92 0 3
GRAPH 10 92 0 3
GRAPH 11 92 0 3
GRAPH 12 92 0 3
GRAPH 13 92 0 4
GRAPH 9 93 0 4
GRAPH 10 93 0 3
GRAPH 11 93 0 3
GRAPH 12 93 0 3
GRAPH 13 93 0 3
GRAPH 4 94 1 3
GRAPH 5 94 1 3
GRAPH 6 94 1 3
GRAPH 7 94 1 3
GRAPH 8 94 1 3
GRAPH 9 94 1 3
GRAPH 10 94 0 4
GRAPH 11 94 0 3
GRAPH 12 94 0 3
GRAPH 13 94 0 3
GRAPH 4 95 1 3
GRAPH 5 95 1 3
GRAPH 6 95 1 3
GRAPH 7 95 1 3
GRAPH 8 95 1 3
GRAPH 9 95 1 3
GRAPH 10 95 1 3
GRAPH 11 95 0 4
GRAPH 12 95 0 3
GRAPH 13 95 0 3
GRAPH 4 96 1 3
GRAPH 5 96 1 3
GRAPH 6 96 1 3
GRAPH 7 96 1 3
GRAPH 8 96 1 3
GRAPH 9 96 1 3
GRAPH 10 96 1 3
GRAPH 11 96 1 3
GRAPH 12 96 0 4
GRAPH 13 96 0 3
GRAPH 4 97 1 3
GRAPH 5 97 1 3
GRAPH 6 97 1 3
GRAPH 7 97 1 3
GRAPH 8 97 1 3
GRAPH 9 97 1 3
GRAPH 10 97 1 3
GRAPH 11 97 1 3
GRAPH 12 97 1 3
GRAPH 13 97 0 4
GRAPH 9 98 1 4
GRAPH 10 98 1 3
GRAPH 11 98 1 3
GRAPH 12 98 1 3
GRAPH 13 98 1 3
GRAPH 4 99 1 3
GRAPH 5 99 1 3
GRAPH 6 99 1 3
GRAPH 7 99 1 3
GRAPH 8 99 1 3
GRAPH 9 99 1 3
GRAPH 10 99 1 4
GRAPH 11 99 1 3
GRAPH 12 99 1 3
GRAPH 13 99 1 3
GRAPH 4 100 1 3
GRAPH 5 100 1 3
GRAPH 6 100 1 3
GRAPH 7 100 1 3
GRAPH 8 100 1 3
GRAPH 9 100 1 3
GRAPH 10 100 1 3
GRAPH 11 100 1 4
GRAPH 12 100 1 3
GRAPH 13 100 1 3
GRAPH 4 101 1 3
GRAPH 5 101 1 3
GRAPH 6 101 1 3
GRAPH 7 101 1 3
GRAPH 8 101 1 3
GRAPH 9 101 1 3
GRAPH 10 101 1 3
GRAPH 11 101 1 3
GRAPH 12 101 1 4
GRAPH 13 101 1 3
GRAPH 4 102 1 3
GRAPH 5 102 1 3
GRAPH 6 102 1 3
GRAPH 7 102 1 3
GRAPH 8 102 1 3
GRAPH 9 102 1 3
GRAPH 10 102 1 3
GRAPH 11 102 1 3
GRAPH 12 102 1 3
GRAPH 13 102 1 4
GRAPH 9 103 1 4
GRAPH 10 103 1 3
GRAPH 11 103 1 3
GRAPH 12 103 1 3
GRAPH 13 103 1 3
GRAPH 4 104 1 3
GRAPH 5 104 1 3
GRAPH 6 104 1 3
GRAPH 7 104 1 3
GRAPH 8 104 1 3
GRAPH 9 104 1 3
GRAPH 10 104 1 4
GRAPH 11 104 1 3
GRAPH 12 104 1 3
GRAPH 13 104 1 3
GRAPH 4 105 1 3
GRAPH 5 105 1 3
GRAPH 6 105 1 3
GRAPH 7 105 1 3
GRAPH 8 105 1 3
GRAPH 9 105 1 3
GRAPH 10 105 1 3
GRAPH 11 105 1 4
GRAPH 12 105 1 3
GRAPH 13 105 1 3
GRAPH 4 106 1 3
GRAPH 5 106 1 3
GRAPH 6 106 1 3
GRAPH 7 106 1 3
GRAPH 8 106 1 3
GRAPH 9 106 1 3
GRAPH 10 106 1 3
GRAPH 11 106 1 3
